age,height,weight,throws,brk,pitches,starter,before,TJ,diff,S
29,75,210,R,8.031221031989277,1109,TRUE,86.51857923497268,1,3.556420765027326,TRUE
28,75,195,R,8.671473791729115,868,FALSE,92.91627906976744,1,NA,FALSE
28,75,225,R,6.770310516651829,952,TRUE,89.38350730688934,1,NA,FALSE
24,75,215,R,8.261884559474883,53,FALSE,92.490625,1,-2.409910714285715,TRUE
26,74,200,R,9.436272431510796,473,FALSE,92.03096774193548,1,2.4413064013666883,TRUE
28,77,240,R,9.910536826442534,1412,TRUE,94.08363402061855,1,NA,FALSE
27,75,235,L,10.994453786639932,18,FALSE,92.78125,1,NA,FALSE
27,75,215,R,8.461388365497825,536,FALSE,94.50240963855421,1,NA,FALSE
32,75,229,R,9.119324545296179,468,FALSE,95.50705128205128,1,NA,FALSE
25,72,200,R,8.90258674482802,69,FALSE,97.07735849056604,1,NA,FALSE
30,72,170,L,9.562431609801463,505,FALSE,88.70986842105263,1,NA,FALSE
26,73,220,R,8.515280801210507,841,TRUE,93.39715302491102,1,1.0734352103830958,TRUE
25,76,195,R,8.810314509205273,3141,TRUE,94.48266850068775,1,0.8200464314389535,TRUE
25,75,210,L,10.182345781240189,2659,TRUE,91.64179856115108,1,0.10185997543429437,TRUE
25,74,185,L,10.730678507539832,1549,TRUE,91.32185223725287,1,0.5996209212989498,TRUE
27,77,230,L,10.72616573456521,321,FALSE,92.77004219409282,1,NA,FALSE
27,75,225,R,8.9633721481021,1740,TRUE,93.22887029288704,1,0.7461297071129565,TRUE
27,76,215,R,7.259364674253282,455,FALSE,94.52571428571429,1,NA,FALSE
30,75,210,R,6.0714076215053066,474,TRUE,95.97560975609755,1,NA,FALSE
24,75,220,L,6.707243877274663,217,FALSE,88.70689655172414,1,NA,FALSE
27,74,230,R,10.407595413627268,842,FALSE,97.88279569892472,1,NA,FALSE
23,76,200,L,11.27312756987987,1135,TRUE,90.61735294117648,1,1.4341011975259903,TRUE
25,76,225,R,9.187739413792492,198,TRUE,92.51267605633802,1,0.3421693044867169,TRUE
25,72,170,R,10.717578945728045,334,FALSE,90.85842696629213,1,NA,FALSE
28,73,245,L,7.251540942693075,317,FALSE,92.53254437869822,1,-1.356267006435445,TRUE
26,74,215,R,8.470099751368801,896,TRUE,92.23473344103392,1,NA,FALSE
26,73,220,R,10.146153655315516,302,TRUE,91.61065989847715,1,NA,FALSE
26,75,215,R,6.671274977186773,1048,TRUE,91.54120982986768,1,NA,FALSE
25,72,190,R,8.62007582092274,33,FALSE,92.58823529411765,1,0.8440227703984817,TRUE
28,75,190,L,10.620158866799107,2335,TRUE,90.2444530046225,1,NA,FALSE
26,76,235,R,9.813890702196549,2564,TRUE,93.6660070671378,1,NA,FALSE
25,74,210,R,8.039943029007453,238,FALSE,97.09424460431654,1,NA,FALSE
27,76,240,R,10.577476518745332,1708,TRUE,92.7430243902439,1,NA,FALSE
30,74,210,L,11.199496274300731,569,FALSE,92.00456621004567,1,NA,FALSE
24,73,195,L,10.545667658098358,523,TRUE,89.73076923076923,1,0.5652665748573753,TRUE
29,75,230,L,8.306865705752013,501,FALSE,90.23142857142857,1,NA,FALSE
25,75,220,R,8.537229389107502,161,FALSE,92.31574803149607,1,NA,FALSE
29,77,210,R,7.821782213121828,420,FALSE,95.00689655172413,1,NA,FALSE
26,76,220,R,8.032864968865095,1265,TRUE,90.67007874015749,1,-0.6081190859788137,TRUE
28,73,215,L,7.607972206809381,145,FALSE,91.10754716981131,1,NA,FALSE
27,77,220,R,9.0165807890195,1420,TRUE,93.306606606606607,1,-1.562162162162167,TRUE
26,77,230,R,9.111245409156531,311,FALSE,97.22311111111111,1,NA,FALSE
26,71,195,R,9.566251237641179,1470,TRUE,92.98247422680413,1,NA,FALSE
22,75,240,R,9.741637050845215,2622,TRUE,95.11250000000001,1,0.12502455795677747,TRUE
26,74,185,R,8.142789280778764,1458,TRUE,91.53073770491804,1,NA,FALSE
27,75,230,R,11.309103188292822,637,TRUE,91.33595505617977,1,NA,FALSE
24,76,220,R,7.75399496757799,1609,TRUE,92.72048484848484,1,NA,FALSE
27,78,215,R,8.406918153122895,1072,FALSE,92.54742647058823,1,-0.6337167931688867,TRUE
24,72,220,R,10.68079673820275,66,FALSE,91.74615384615385,1,NA,FALSE
27,72,185,R,8.909114132773043,882,TRUE,93.31863013698631,1,NA,FALSE
26,77,225,R,8.983317727487153,1019,TRUE,91.96413502109705,1,NA,FALSE
26,76,200,R,9.41164511050285,832,TRUE,91.10972644376899,1,-0.9145457208774275,TRUE
25,74,190,L,10.723117095493137,348,TRUE,93.80555555555556,1,NA,FALSE
29,77,195,L,8.165063559931331,1429,TRUE,85.9012087912088,1,NA,FALSE
25,73,205,R,8.167089943146149,2113,TRUE,94.16456692913385,1,NA,FALSE
25,76,210,R,7.70289574099479,184,TRUE,91.66103896103895,1,NA,FALSE
27,75,205,R,9.299420502504729,178,FALSE,95.46354166666667,1,NA,FALSE
26,75,216,R,10.32562069737671,2604,TRUE,95.56993865030675,1,NA,FALSE
25,74,215,R,8.585946015963284,894,FALSE,96.78245614035087,1,NA,FALSE
23,73,225,R,7.405224123532433,166,TRUE,94.97586206896551,1,NA,FALSE
27,74,195,R,8.250133340583433,614,FALSE,94.88,1,NA,FALSE
25,78,225,L,8.83207819148306,2384,TRUE,91.9076923076923,1,NA,FALSE
